Level,Message
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
Monitorable,Unknown SPSkuType types for [639dec6b-bb19-468b-871c-c5c441c4b0cb][be9f9771-1c64-4618-9907-244325141096][61902246-d7cb-453e-85cd-53ee28eec138]
Medium,"Initial: FileOperationType = [RenderListDataAsStream], OperationId = [SPRequest_REST_Unknown], ComponentId = [REST]"
Medium,SPApplicationAuthenticationModule: Couldn't find a valid token in the request.
High,"SPApplicationAuthenticationModule:: AuthenticateRequest finished. Error code: 'NoIdentitySet', Error info: 'Could not authenticate using provided token.'."
Medium,Leaving Monitored Scope: (Name=Application Authentication Pipeline;StaticScopeId=6jnft) Execution Time=0.1168; CPU Milliseconds=0; Managed Bytes=4864; SQL Query Count=0; GCPauseMS=0; AllocBytes=5864;; Parent=SPClaimsCounterScope
High,There are no tasks to execute asynchronously.
Medium,OData3 request
Medium,Encountered empty or invalid OAuth token on request. Do not bypass FormDigest for OAuth.
Medium,Site=/sites/NZ-EXT-TWG
Medium,"PermissionMask check failed for '{4E9186D1-171F-4918-ADC5-6057578900B8}'. Asking for '0x00010000', have '0x00000000'."
Unexpected,Setting internal status code
Unexpected,Failed to assert permission mask.
Medium,Unknown SPRequest error occurred. More information: 0x80070005
Medium,Retrieved internal error code from CSPRequest object.
High,Exception when setup mondo proc hint: Access is denied. (Exception from HRESULT: 0x80070005 (E_ACCESSDENIED))
Medium,"SyntexPAYGEnabled:'False', Is setting valid:'False', Features enabled:'None'."
Medium,Encountered empty or invalid OAuth token on request. Do not bypass FormDigest for OAuth.
Medium,"Permission check failed. asking for 0x10000, have 0x2000000000"
Medium,RestException=Attempted to perform an unauthorized operation.
Medium,Original error: Attempted to perform an unauthorized operation.
High,"Error occurred while processing the inbound odata webservice call. Ex: System.UnauthorizedAccessException: Attempted to perform an unauthorized operation.
   at Microsoft.SharePoint.SPSecurableObject.CheckPermissions(SPBasePermissions permissionMask)
   at Microsoft.SharePoint.Client.SPClientServiceHost.OnBeginRequestInternal()
   at Microsoft.SharePoint.Client.SPClientServiceHost.OnBeginRequest()
   at Microsoft.SharePoint.Client.Rest.RestService.ProcessQuery(ClientServiceHost serviceHost, Stream inputStream, IList`1 pendingDisposableContainer)"
Medium,"SocialRESTExceptionProcessingHandler.DoServerExceptionProcessing - SharePoint Server Exception [System.UnauthorizedAccessException: Attempted to perform an unauthorized operation.
   at Microsoft.SharePoint.SPSecurableObject.CheckPermissions(SPBasePermissions permissionMask)
   at Microsoft.SharePoint.Client.SPClientServiceHost.OnBeginRequestInternal()
   at Microsoft.SharePoint.Client.SPClientServiceHost.OnBeginRequest()
   at Microsoft.SharePoint.Client.Rest.RestService.ProcessQuery(ClientServiceHost serviceHost, Stream inputStream, IList`1 pendingDisposableContainer)]"
Medium,Throw UnauthorizedAccessException instead of SPUtilityInternal.SendUnauthorized for client.svc request.
Medium,Message removed because it contains renderlistdataasstream. Please see aka.ms\ULSSanitizer for details.
